id,geographic-area-name,median-income
0500000US01003,"Baldwin County, Alabama",56439
0500000US01015,"Calhoun County, Alabama",48156
0500000US01043,"Cullman County, Alabama",50906
0500000US01049,"DeKalb County, Alabama",44208
0500000US01051,"Elmore County, Alabama",61854
0500000US01055,"Etowah County, Alabama",41447
0500000US01069,"Houston County, Alabama",50103
0500000US01073,"Jefferson County, Alabama",53944
0500000US01077,"Lauderdale County, Alabama",46632
0500000US01081,"Lee County, Alabama",53712
0500000US01083,"Limestone County, Alabama",63695
0500000US01089,"Madison County, Alabama",67930
0500000US01095,"Marshall County, Alabama",49467
0500000US01097,"Mobile County, Alabama",49639
0500000US01101,"Montgomery County, Alabama",53117
0500000US01103,"Morgan County, Alabama",54338
0500000US01115,"St. Clair County, Alabama",67487
0500000US01117,"Shelby County, Alabama",75614
0500000US01121,"Talladega County, Alabama",50147
0500000US01125,"Tuscaloosa County, Alabama",52243
0500000US01127,"Walker County, Alabama",46283
0500000US02020,"Anchorage Municipality, Alaska",82716
0500000US02090,"Fairbanks North Star Borough, Alaska",72065
0500000US02170,"Matanuska-Susitna Borough, Alaska",74709
0500000US04001,"Apache County, Arizona",30480
0500000US04003,"Cochise County, Arizona",48484
0500000US04005,"Coconino County, Arizona",58085
0500000US04013,"Maricopa County, Arizona",68649
0500000US04015,"Mohave County, Arizona",50179
0500000US04017,"Navajo County, Arizona",38897
0500000US04019,"Pima County, Arizona",56169
0500000US04021,"Pinal County, Arizona",62057
0500000US04025,"Yavapai County, Arizona",53816
0500000US04027,"Yuma County, Arizona",46419
0500000US05007,"Benton County, Arkansas",69130
0500000US05031,"Craighead County, Arkansas",45610
0500000US05045,"Faulkner County, Arkansas",57642
0500000US05051,"Garland County, Arkansas",45265
0500000US05069,"Jefferson County, Arkansas",39326
0500000US05085,"Lonoke County, Arkansas",62532
0500000US05119,"Pulaski County, Arkansas",52043
0500000US05125,"Saline County, Arkansas",66327
0500000US05131,"Sebastian County, Arkansas",48839
0500000US05143,"Washington County, Arkansas",50798
0500000US05145,"White County, Arkansas",43399
0500000US06001,"Alameda County, California",108322
0500000US06007,"Butte County, California",62563
0500000US06013,"Contra Costa County, California",107135
0500000US06017,"El Dorado County, California",87059
0500000US06019,"Fresno County, California",57518
0500000US06023,"Humboldt County, California",51662
0500000US06025,"Imperial County, California",48472
0500000US06029,"Kern County, California",53067
0500000US06031,"Kings County, California",58453
0500000US06033,"Lake County, California",47138
0500000US06037,"Los Angeles County, California",72797
0500000US06039,"Madera County, California",64827
0500000US06041,"Marin County, California",110843
0500000US06045,"Mendocino County, California",51744
0500000US06047,"Merced County, California",61167
0500000US06053,"Monterey County, California",77514
0500000US06055,"Napa County, California",92769
0500000US06057,"Nevada County, California",68818
0500000US06059,"Orange County, California",95934
0500000US06061,"Placer County, California",97723
0500000US06065,"Riverside County, California",73260
0500000US06067,"Sacramento County, California",72017
0500000US06071,"San Bernardino County, California",67903
0500000US06073,"San Diego County, California",83985
0500000US06075,"San Francisco County, California",123859
0500000US06077,"San Joaquin County, California",68997
0500000US06079,"San Luis Obispo County, California",77265
0500000US06081,"San Mateo County, California",138500
0500000US06083,"Santa Barbara County, California",75653
0500000US06085,"Santa Clara County, California",133076
0500000US06087,"Santa Cruz County, California",89269
0500000US06089,"Shasta County, California",63091
0500000US06095,"Solano County, California",86652
0500000US06097,"Sonoma County, California",87828
