geographic-area-name,population
"Baldwin County, Alabama",223234
"Calhoun County, Alabama",113605
"Cullman County, Alabama",83768
"DeKalb County, Alabama",71513
"Elmore County, Alabama",81209
"Etowah County, Alabama",102268
"Houston County, Alabama",105882
"Jefferson County, Alabama",658573
"Lauderdale County, Alabama",92729
"Lee County, Alabama",164542
"Limestone County, Alabama",98915
"Madison County, Alabama",372909
"Marshall County, Alabama",96774
"Mobile County, Alabama",413210
"Montgomery County, Alabama",226486
"Morgan County, Alabama",119679
"St. Clair County, Alabama",89512
"Shelby County, Alabama",217702
"Talladega County, Alabama",79978
"Tuscaloosa County, Alabama",209355
"Walker County, Alabama",63521
"Anchorage Municipality, Alaska",288000
"Fairbanks North Star Borough, Alaska",96849
"Matanuska-Susitna Borough, Alaska",108317
"Apache County, Arizona",71887
"Cochise County, Arizona",125922
"Coconino County, Arizona",143476
"Maricopa County, Arizona",4485414
"Mohave County, Arizona",212181
"Navajo County, Arizona",110924
"Pima County, Arizona",1047279
"Pinal County, Arizona",462789
"Yavapai County, Arizona",235099
"Yuma County, Arizona",213787
"Benton County, Arkansas",279141
"Craighead County, Arkansas",110332
"Faulkner County, Arkansas",126007
"Garland County, Arkansas",99386
"Jefferson County, Arkansas",66824
"Lonoke County, Arkansas",73309
"Pulaski County, Arkansas",391911
"Saline County, Arkansas",122437
"Sebastian County, Arkansas",127827
"Washington County, Arkansas",239187
"White County, Arkansas",78753
"Alameda County, California",1671329
"Butte County, California",219186
"Contra Costa County, California",1153526
"El Dorado County, California",192843
"Fresno County, California",999101
"Humboldt County, California",135558
"Imperial County, California",181215
"Kern County, California",900202
"Kings County, California",152940
"Lake County, California",64386
"Los Angeles County, California",10039107
"Madera County, California",157327
"Marin County, California",258826
"Mendocino County, California",86749
"Merced County, California",277680
"Monterey County, California",434061
"Napa County, California",137744
"Nevada County, California",99755
"Orange County, California",3175692
"Placer County, California",398329
"Riverside County, California",2470546
"Sacramento County, California",1552058
"San Bernardino County, California",2180085
"San Diego County, California",3338330
"San Francisco County, California",881549
"San Joaquin County, California",762148
"San Luis Obispo County, California",283111
"San Mateo County, California",766573
"Santa Barbara County, California",446499
"Santa Clara County, California",1927852
"Santa Cruz County, California",273213
"Shasta County, California",180080
