state,county,UninsuredPerc,fair-or-poor-health-perc
Alabama,,11,22
Alabama,Autauga,9,21
Alabama,Baldwin,11,18
Alabama,Barbour,12,30
Alabama,Bibb,10,19
Alabama,Blount,13,22
Alabama,Bullock,11,31
Alabama,Butler,11,28
Alabama,Calhoun,12,23
Alabama,Chambers,12,24
Alabama,Cherokee,11,21
Alabama,Chilton,14,21
Alabama,Choctaw,11,25
Alabama,Clarke,12,25
Alabama,Clay,14,24
Alabama,Cleburne,13,19
Alabama,Coffee,12,19
Alabama,Colbert,10,21
Alabama,Conecuh,12,29
Alabama,Coosa,13,25
Alabama,Covington,12,23
Alabama,Crenshaw,12,22
Alabama,Cullman,13,22
Alabama,Dale,10,23
Alabama,Dallas,10,30
Alabama,DeKalb,17,26
Alabama,Elmore,9,19
Alabama,Escambia,14,26
Alabama,Etowah,12,21
Alabama,Fayette,11,22
Alabama,Franklin,15,25
Alabama,Geneva,14,23
Alabama,Greene,11,34
Alabama,Hale,11,28
Alabama,Henry,12,21
Alabama,Houston,11,20
Alabama,Jackson,13,23
Alabama,Jefferson,10,20
Alabama,Lamar,12,24
Alabama,Lauderdale,11,20
Alabama,Lawrence,14,22
Alabama,Lee,10,21
Alabama,Limestone,11,20
Alabama,Lowndes,11,30
Alabama,Macon,11,30
Alabama,Madison,9,19
Alabama,Marengo,10,26
Alabama,Marion,11,22
Alabama,Marshall,16,22
Alabama,Mobile,12,22
Alabama,Monroe,13,30
Alabama,Montgomery,11,24
Alabama,Morgan,12,21
Alabama,Perry,11,35
Alabama,Pickens,12,27
Alabama,Pike,13,25
Alabama,Randolph,13,21
Alabama,Russell,11,25
Alabama,St. Clair,10,19
Alabama,Shelby,8,16
Alabama,Sumter,11,34
Alabama,Talladega,10,23
Alabama,Tallapoosa,12,23
Alabama,Tuscaloosa,9,20
Alabama,Walker,12,24
Alabama,Washington,14,23
Alabama,Wilcox,11,29
Alabama,Winston,13,21
Alaska,,15,18
Alaska,Aleutians East,28,17
Alaska,Aleutians West,20,15
Alaska,Anchorage,13,15
Alaska,Bethel,20,24
Alaska,Bristol Bay,17,15
Alaska,Denali,14,13
Alaska,Dillingham,17,23
Alaska,Fairbanks North Star,13,12
Alaska,Haines,18,13
Alaska,Hoonah-Angoon,23,17
Alaska,Juneau,13,11
Alaska,Kenai Peninsula,16,15
Alaska,Ketchikan Gateway,17,14
Alaska,Kodiak Island,18,13
Alaska,Kusilvak,18,37
Alaska,Lake and Peninsula,25,22
Alaska,Matanuska-Susitna,15,13
Alaska,Nome,21,25
Alaska,North Slope,18,16
Alaska,Northwest Arctic,24,24
Alaska,Petersburg,19,12
Alaska,Prince of Wales-Hyder,23,18
Alaska,Sitka,18,13
Alaska,Skagway,14,12
Alaska,Southeast Fairbanks,21,15
Alaska,Valdez-Cordova,15,12
Alaska,Wrangell,19,15
Alaska,Yakutat,19,16
Alaska,Yukon-Koyukuk,24,23
Arizona,,12,19
Arizona,Apache,19,26
Arizona,Cochise,10,18
Arizona,Coconino,13,16
Arizona,Gila,13,19
Arizona,Graham,10,19
Arizona,Greenlee,9,18
Arizona,La Paz,20,22
Arizona,Maricopa,12,16
Arizona,Mohave,13,19
Arizona,Navajo,15,24
Arizona,Pima,11,17
Arizona,Pinal,11,20
Arizona,Santa Cruz,14,27
Arizona,Yavapai,13,15
Arizona,Yuma,14,23
Arkansas,,9,23
Arkansas,Arkansas,9,23
Arkansas,Ashley,9,24
Arkansas,Baxter,8,19
Arkansas,Benton,10,16
Arkansas,Boone,9,21
Arkansas,Bradley,12,28
Arkansas,Calhoun,8,24
Arkansas,Carroll,13,22
Arkansas,Chicot,9,30
Arkansas,Clark,7,24
Arkansas,Clay,9,23
Arkansas,Cleburne,9,20
Arkansas,Cleveland,9,22
Arkansas,Columbia,8,27
Arkansas,Conway,9,22
Arkansas,Craighead,8,23
Arkansas,Crawford,10,20
Arkansas,Crittenden,8,26
Arkansas,Cross,9,24
Arkansas,Dallas,8,23
Arkansas,Desha,10,32
Arkansas,Drew,8,25
Arkansas,Faulkner,8,21
Arkansas,Franklin,9,22
Arkansas,Fulton,10,22
Arkansas,Garland,10,20
Arkansas,Grant,6,20
Arkansas,Greene,7,20
Arkansas,Hempstead,11,27
Arkansas,Hot Spring,8,20
Arkansas,Howard,12,26
Arkansas,Independence,8,23
Arkansas,Izard,10,20
Arkansas,Jackson,9,25
Arkansas,Jefferson,7,26
Arkansas,Johnson,11,24
Arkansas,Lafayette,11,25
Arkansas,Lawrence,8,21
Arkansas,Lee,9,29
Arkansas,Lincoln,9,25
Arkansas,Little River,9,24
Arkansas,Logan,10,22
Arkansas,Lonoke,7,19
Arkansas,Madison,11,22
Arkansas,Marion,10,20
Arkansas,Miller,8,23
Arkansas,Mississippi,8,27
Arkansas,Monroe,8,28
Arkansas,Montgomery,11,22
Arkansas,Nevada,8,26
Arkansas,Newton,10,22
Arkansas,Ouachita,7,27
Arkansas,Perry,9,20
Arkansas,Phillips,7,33
Arkansas,Pike,12,22
Arkansas,Poinsett,10,24
Arkansas,Polk,13,24
Arkansas,Pope,11,22
Arkansas,Prairie,9,22
Arkansas,Pulaski,8,19
Arkansas,Randolph,9,22
Arkansas,St. Francis,8,28
Arkansas,Saline,8,15
Arkansas,Scott,12,23
Arkansas,Searcy,10,22
Arkansas,Sebastian,13,21
Arkansas,Sevier,18,29
Arkansas,Sharp,10,26
Arkansas,Stone,12,23
Arkansas,Union,9,23
Arkansas,Van Buren,10,21
Arkansas,Washington,12,20
Arkansas,White,9,20
Arkansas,Woodruff,10,26
Arkansas,Yell,12,25
California,,8,17
California,Alameda,6,12
California,Alpine,8,16
California,Amador,6,13
California,Butte,7,17
California,Calaveras,7,12
California,Colusa,11,19
California,Contra Costa,6,12
California,Del Norte,6,18
California,El Dorado,5,12
California,Fresno,9,24
California,Glenn,11,18
California,Humboldt,9,16
California,Imperial,8,25
California,Inyo,9,15
California,Kern,9,23
California,Kings,9,21
California,Lake,9,18
California,Lassen,5,15
California,Los Angeles,10,16
California,Madera,10,23
California,Marin,5,11
California,Mariposa,8,14
California,Mendocino,11,17
California,Merced,9,23
California,Modoc,11,16
California,Mono,10,14
California,Monterey,11,22
California,Napa,9,14
California,Nevada,7,12
California,Orange,8,14
California,Placer,4,11
California,Plumas,7,14
California,Riverside,9,17
California,Sacramento,6,16
California,San Benito,8,17
California,San Bernardino,8,20
California,San Diego,8,14
California,San Francisco,5,11
California,San Joaquin,8,17
California,San Luis Obispo,7,13
California,San Mateo,5,12
California,Santa Barbara,11,17
California,Santa Clara,5,12
California,Santa Cruz,7,15
