,date,state,abbr,county,fips,population,ccvi score,cases,case rate,deaths,death rate,median income 2018,uninsured percent,fair or poor health percent,socioeconomic status,household composition and disability,minority status and language,housing type and transportation,epidemiological factors,healthcare system factors
0,9/30/2020,Alabama,AL,Autauga,1001,"55,869",0.804,1791,0.01791,27,0.00027,"59,338",0.09,0.21,0.35700000000000004,0.5660000000000001,0.5920000000000001,0.314,0.833,0.976
2,9/30/2020,Alabama,AL,Barbour,1005,"24,686",0.986,896,0.00896,7,7e-05,"34,382",0.12,0.3,0.973,0.8390000000000001,0.897,0.64,0.778,0.852
3,9/30/2020,Alabama,AL,Bibb,1007,"22,394",0.8029999999999999,664,0.00664,11,0.00011,"46,064",0.1,0.19,0.746,0.249,0.44299999999999995,0.743,0.726,0.972
5,9/30/2020,Alabama,AL,Bullock,1011,"10,101",0.9470000000000001,610,0.0061,15,0.00015,"29,267",0.11,0.31,0.9470000000000001,0.36700000000000005,0.8140000000000001,0.45399999999999996,0.9520000000000001,0.861
6,9/30/2020,Alabama,AL,Butler,1013,"19,448",0.855,917,0.00917,40,0.0004,"37,365",0.11,0.28,0.812,0.728,0.5670000000000001,0.5820000000000001,0.823,0.69
22,9/30/2020,Alabama,AL,Dale,1045,"49,172",0.833,1418,0.01418,44,0.00044,"45,309",0.1,0.23,0.755,0.597,0.578,0.187,0.767,0.9359999999999999
23,9/30/2020,Alabama,AL,Dallas,1047,"37,196",0.8240000000000001,1799,0.01799,26,0.00026,"34,035",0.1,0.3,0.938,0.836,0.7140000000000001,0.629,0.391,0.621
24,9/30/2020,Alabama,AL,DeKalb,1049,"71,513",0.7879999999999999,2461,0.02461,21,0.00021,"39,491",0.17,0.26,0.8009999999999999,0.648,0.691,0.588,0.29100000000000004,0.9279999999999999
25,9/30/2020,Alabama,AL,Elmore,1051,"81,209",0.78,2739,0.02739,48,0.00048,"60,367",0.09,0.19,0.47600000000000003,0.439,0.579,0.267,0.7859999999999999,0.975
26,9/30/2020,Alabama,AL,Escambia,1053,"36,633",0.68,1620,0.0162,24,0.00024,"38,418",0.14,0.26,0.9490000000000001,0.698,0.611,0.389,0.17600000000000002,0.662
27,9/30/2020,Alabama,AL,Etowah,1055,"102,268",0.629,3575,0.03575,45,0.00045,"44,903",0.12,0.21,0.627,0.606,0.49700000000000005,0.10300000000000001,0.777,0.5589999999999999
28,9/30/2020,Alabama,AL,Fayette,1057,"16,302",0.639,473,0.00473,11,0.00011,"39,254",0.11,0.22,0.835,0.9009999999999999,0.168,0.7290000000000001,0.28600000000000003,0.59
