fips,name,state,state_code
1001,Autauga,AL,01
1003,Baldwin,AL,01
1005,Barbour,AL,01
1007,Bibb,AL,01
1009,Blount,AL,01
1011,Bullock,AL,01
1013,Butler,AL,01
1015,Calhoun,AL,01
1017,Chambers,AL,01
1019,Cherokee,AL,01
1021,Chilton,AL,01
1023,Choctaw,AL,01
1025,Clarke,AL,01
1027,Clay,AL,01
1029,Cleburne,AL,01
1031,Coffee,AL,01
1033,Colbert,AL,01
1035,Conecuh,AL,01
1037,Coosa,AL,01
1039,Covington,AL,01
1041,Crenshaw,AL,01
1043,Cullman,AL,01
1045,Dale,AL,01
1047,Dallas,AL,01
1049,De Kalb,AL,01
1051,Elmore,AL,01
1053,Escambia,AL,01
1055,Etowah,AL,01
1057,Fayette,AL,01
1059,Franklin,AL,01
1061,Geneva,AL,01
1063,Greene,AL,01
1065,Hale,AL,01
1067,Henry,AL,01
1069,Houston,AL,01
1071,Jackson,AL,01
1073,Jefferson,AL,01
1075,Lamar,AL,01
1077,Lauderdale,AL,01
1079,Lawrence,AL,01
1081,Lee,AL,01
1083,Limestone,AL,01
1085,Lowndes,AL,01
1087,Macon,AL,01
1089,Madison,AL,01
1091,Marengo,AL,01
1093,Marion,AL,01
1095,Marshall,AL,01
1097,Mobile,AL,01
1099,Monroe,AL,01
1101,Montgomery,AL,01
1103,Morgan,AL,01
1105,Perry,AL,01
1107,Pickens,AL,01
1109,Pike,AL,01
1111,Randolph,AL,01
1113,Russell,AL,01
1115,St Clair,AL,01
1117,Shelby,AL,01
1119,Sumter,AL,01
1121,Talladega,AL,01
1123,Tallapoosa,AL,01
1125,Tuscaloosa,AL,01
1127,Walker,AL,01
1129,Washington,AL,01
1131,Wilcox,AL,01
1133,Winston,AL,01
2013,Aleutians East,AK,02
2016,Aleutians West,AK,02
2020,Anchorage,AK,02
2050,Bethel,AK,02
2060,Bristol Bay,AK,02
2068,Denali,AK,02
2070,Dillingham,AK,02
2090,Fairbanks North Star,AK,02
2100,Haines,AK,02
2110,Juneau,AK,02
2122,Kenai Peninsula,AK,02
2130,Ketchikan Gateway,AK,02
2150,Kodiak Island,AK,02
2164,Lake and Peninsula,AK,02
2170,Matanuska-Susitna,AK,02
2180,Nome,AK,02
2185,North Slope,AK,02
2188,Northwest Arctic,AK,02
2201,Prince of Wales-Outer Ketchikan,AK,02
2220,Sitka,AK,02
